title;abstract;journal;volume
Thermoacoustic Instabilities in an Annular Rotating Detonation Combustor Under Off-Design Condition;Experiments are performed to investigate the combustion features in a laboratory-scale hydrogen (H2)/air annular rotating detonation combustor under the off-design condition of low air mass flow rates. The air mass flow rate is ranged from 10 to 115 g/s  and the overall equivalence ratio is ranged from 0.6 to 1.0. The unstable longitudinal pulsed deflagration (ULPD)  rotating fast deflagration (RFD)  and stable longitudinal pulsed deflagration (SLPD) are found to exist in the combustor according to the analysis of pressure traces obtained at different circumferential and axial positions. The RFD is such a combustion instability coupled with the first tangential acoustic mode  but it occurs very rarely. The propagation speed of the RFD waves is approximately 500 m/s  and the pressure wave amplitudes are as low as 0.2 MPa. The SLPD appears with stronger and periodic pressure oscillations  and it is coupled with the first longitudinal acoustic mode of the combustor. The ULPD found in the present experiment can be regarded as the longitudinal mode even though the main frequency band is wider. The pressure oscillations are very irregular in the ULPD situation  but they are traveling forward and backward along the axial direction of the combustor. The variation of the air mass flow rate has more influence on the oscillation intensity of the deflagration wave than the variation of the equivalence ratio. It is also found that the pressure oscillations in the air and hydrogen plenums are forced by the unstable combustion process in the annular combustor. The unchoked condition of the injectors contributes the system coupling of the combustor and plenum.;JPP;35.1
Two-Hundred-Newton Laboratory-Scale Hybrid Rocket Testing for Paraffin Fuel-Performance Characterization;A series of firing tests have been performed on a laboratory-scale hybrid rocket engine of 200 N class  fed with gaseous oxygen through a converging nozzle injector  to assess the mechanical feasibility and regression rate of a newly developed paraffin-based fuel. Such an injector configuration  by producing recirculation at the motor head hand  has been already demonstrated to influence the standard fuels regression rate  which yields an increase with the port diameter at given mass flux. In this study  paraffin-fuel regression rate dependence on the mass flux and grain port diameter in the form of a power function is determined to be similar to that established with polymeric fuels  despite the different mechanism of consumption that involves the fuel surface liquid-layer instability other than the vaporization typical of classical polymers. Comparison with some data in the literature is presented. Data retrieved from the testing campaign are compared with numerical results obtained by adopting a simple but efficient modeling strategy and a commercial solver. The numerical solution gives evidence of the recirculating flow at the injector exit  which is also responsible for the paraffin contamination observed in the motor prechamber. A good agreement is found with chamber pressure experimentally measured.;JPP;35.1
Melting and Resolidification of Direct Metal Laser Sintering with Multiscale Nonequilibrium Model;A multiscale numerical model based on the nonequilibrium thermal effect for melting and resolidification of direct metal laser sintering with a moving laser beam is developed. The effects of surface tension  buoyancy  and permeability as well as volume shrinkage due to the density change are taken into account. The finite volume method was used in this nonequilibrium model  and the nonequilibrium model is solved numerically using the SIMPLE algorithm method with iterative tridiagonal matrix algorithm. The surface temperature distributions and shapes of top surface  liquid–upper mushy  upper mushy–lower mushy  and lower mushy–solid interfaces are investigated. The results show that  during the melting progress  the liquid region  upper mushy zone  and lower mushy zone are formed on the top of unsintered zone. The parametric study shows that the top surface  liquid–upper mushy  upper mushy–lower mushy  and lower mushy–solid interfaces become lower with increasing laser intensity  increasing initial porosity  or decreasing scanning velocity.;JTHT;33.1
Multiobjective Optimization of Annular Fin Array Subject to Thermal Load;The life of an annular fin is shortened by the thermal stress developed due to the temperature difference along the length of the fin. However  the thermal stress in fin arrays is yet to be analyzed in detail. Because of that fact  the design of an annular fin array is formulated here as a multiobjective optimization problem  primarily for maximizing the heat transfer rate and minimizing the developed maximum thermal stress. For further assessment  minimization of the total fin volume of the array and maximization of the surface efficiency are considered as two additional objective functions. Considering an array of identical fins having a plane profile  the half-thickness at the base  the half-thickness at the tip  and the outer radius of an individual fin along with the number of fins in the array are taken as four design variables. Evaluating through the hybrid spline difference method  the four objective functions are optimized in different combinations by employing nondominated sorting genetic algorithm II. The proposed procedure should help a designer to choose a compromise fin array configuration from a set of tradeoff optima based upon the availability of resources.;JTHT;33.1
Natural Convection in an Enclosure with a Pair of Discrete Heat Sources;An experimental and numerical study is carried out to investigate natural convection cooling characteristics of discrete heat sources in a rectangular enclosure. One of the sidewalls of the enclosure is heated by a pair of identical discrete heat sources  whereas the other sidewall is maintained at a constant temperature. The effect of the heat dissipation ratio of the heat sources on buoyancy-induced flow and heat transfer characteristics is investigated. Experimental studies are performed for a constant value of the modified Rayleigh number (𝑅𝑎∗=7.7×105) and three different values of the heat dissipation ratio (𝑟ℎ=𝑞˙1/𝑞˙2=0.5  1 and 2)  whereas numerical studies cover the range of 104 to 5×106 for the modified Rayleigh number and different values of the heat dissipation ratios between 0.25 and 2. In the experimental study  qualitative flow visualization studies are carried out as well as temperature measurements. In the numerical study  a commercial computational fluid dynamics code in ANSYS Fluent is used. The variations of the surface temperatures  the hot spot temperature  and the mean Nusselt number with the modified Rayleigh number and the heat dissipation ratio are obtained. Results are presented in terms of streamlines  isotherms  and heat lines.;JTHT;33.1
Nitrogen Surface Catalyzed Recombination Efficiency from Two-Photon Laser Induced Fluorescence Measurements;Measurements of temperature and species gradients in the thermal boundary layer adjacent to different surfaces exposed to nitrogen plasma are made to characterize surface-catalyzed recombination. Laser-induced nitrogen atom fluorescence signals are obtained with submillimeter spatial resolution to provide a direct indication of surface-catalyzed reactivity. Further analysis of the measured quantities balancing the diffusive reactant flux with the consumption of atoms by surface reaction yields direct quantitative values for surface-catalyzed reaction rates and catalytic efficiencies. Materials tested in the present work include metals and quartz  and the surface-catalyzed recombination efficiencies are (8.05±2.01)×10−3  (5.74±1.44)×10−3  (2.10±0.53)×10−3  and (1.03±0.26)×10−4 for polished copper  cooled virgin nickel  unpolished copper  and cooled quartz  respectively. Comparisons between these values and previously published results suggest that this technique provides a useful means to characterize the catalytic behavior of high-temperature materials in plasma test facilities.;JTHT;33.1
Aging Effects on the Burning Rates of Composite Solid Propellants with Nano-Additives;The aging behavior of composite propellant is a key parameter in determining the usable service life of an energetic system. The effect of aging on composite propellant burning rates is an understudied topic in the open literature. Recent research in the authors’ laboratory has led to the development of high-burning rate propellants containing titania nanoparticles and fluorescing propellants containing quantum dots. The current study assessed the aging behavior of composite ammonium perchlorate (AP)/hydroxyl terminated polybutadiene propellants  with specific emphasis on fluorescent properties and burning rates. Propellant formulations were based on either 80% monomodal or 85% bimodal AP distributions with and without titania nanoparticles and quantum dots. Propellant samples were thermally aged at temperatures of 63 and 85°C and humidity levels of 25 and 75% for up to 195 days to yield approximate service lives in the range of 0–25 years. Fluorescent imaging experiments were conducted with an ultraviolet light source to measure the uniformity of propellant samples. Ballistic testing was conducted in a constant-volume strand burner over the pressure range of 500–2250 psia (3.5–15.5 MPa). Spatial uniformity of the propellant fluorescence was not significantly altered with propellant age but did decrease in intensity to some degree. In general  the burning rate and pressure index of propellants decreased with increasing service life. Propellant formulations containing 85% bimodal AP were found to be more stable than formulations containing 80% monomodal AP. Inclusion of quantum dots or titania nanoparticles in the propellant formulation increased aging stability.;JPP;35.2
Noncontact Near-Field Photon Transfer Control Using Metamaterial;In this paper  by using a microcomblike metamaterial  noncontact control of near-field evanescent photon tunneling is achieved. With the control of spoof surface modes inside the comb  resonant frequencies of tunneling peaks can be tuned without disturbing the surface structure or causing separation. An analytical model based on effective medium theory is employed to understand the tuning effect and elucidate the origin of different tunneling modes. The current study can enrich the basic understandings of near-field radiation heat transfer  and they help various applications like aerospace thermal management and near-field spectroscopy.;JTHT;33.1
Numerical Analysis of an Actively Cooled Low-Reynolds-Number Hypersonic Diffuser;This paper presents a comprehensive numerical study of a low-Reynolds-number hypersonic diffuser designed for a 1.6 MW Arc-Heated Wind Tunnel facility. The numerical study includes the detailed computational fluid dynamics (CFD) investigation of the high-temperature  viscous  chemically reacting nonequilibrium hypersonic flowfield inside the diffuser with Reynolds-averaged Navier–Stokes simulations at a number of diffuser exit pressure conditions. The CFD analysis is used to evaluate the overall performance of the configuration at selected operating conditions and to provide wall heat flux values for the numerical analysis and design of an active cooling system for the thermal management of the diffuser. The CFD results are obtained with noncatalytic and fully catalytic wall assumptions to bound the estimated heat flux to the diffuser walls. The effects of surface catalyticity and thermochemical nonequilibrium on the flowfield are discussed  with the emphasis on diffuser and active cooling system design. A detailed numerical analysis focusing on active cooling of the diffuser is presented. The results of the CFD and thermal analyses presented in this paper are expected to be a valuable addition to the very limited literature on low-Reynolds-number hypersonic diffuser design.;JTHT;33.1
Background Pressure Effects on Ion Velocity Distributions in an SPT-100 Hall Thruster;Increased background pressure in vacuum chamber test facilities as compared to on-orbit operation has been shown to influence the operation of electric propulsion devices such as Hall thrusters. This study aims to elucidate the impact of pressure on the ionization and acceleration mechanisms in a stationary plasma thruster  model SPT-100 Hall thruster  using time-averaged and time-resolved laser-induced fluorescence velocimetry. The results are compared for the thruster operating at an applied 300 V (∼4.25A)  with vacuum facility background pressures ranging from 1.7×10−5 to 8.0×10−5torr. Time-averaged measurements reveal that  in general  an upstream shift in the position of the ionization and acceleration regions occurs as the facility pressure is increased above the nominal 1.7×10−5torr. Time-resolved measurements  implemented using a sample-hold scheme with 1𝜇s resolution  emphasize that similar acceleration profiles are present within the Hall thruster discharge channel regardless of background pressure. Measurements taken at 3.5×10−5torr  where the facility background neutral density is similar to the neutral density emitted from the thruster  unexpectedly show increased ion acceleration over the next highest pressure condition at 5.0×10−5torr. These results indicate a not-yet well defined balance of the impacts of neutral ingestion  classical and turbulent electron transport on thruster operation  and that the ratio of the background to thruster neutral density is a more relevant benchmark than background pressure alone when evaluating Hall thruster operation.;JPP;35.2
Data-Driven One-Dimensional Modeling of Pseudoshocks;In dual-mode scramjet engines  the isolator comprises complex shock structures that provide the necessary compression of incoming air to sustain combustion farther downstream. This region of pressure increase is termed a pseudoshock. For stable scramjet design  it is essential to ensure sufficient length of isolator to fit the pseudoshock and achieve the target compression. Hence  models that can predict the pressure rise across and the length of the pseudoshock are valuable in this context. Although several empirical and reduced-order models are available in the literature  it is found that such models do not reliably predict the pseudoshock characteristics. To address this issue  a one-dimensional model is developed from a flux-conserved approach  which captures the pressure growth profiles for a wide range of Mach numbers. The model parameters are initially calibrated using a genetic algorithm but were found to exhibit variations based on experimental conditions. Using these results as prior information  a Bayesian approach is used to describe the one-dimensional model and related uncertainties statistically. This approach provided interesting insights  notably the ability to reduce the number of parameters. The resulting model accurately reproduces the pseudoshock characteristics over the range of operating conditions tested.;JPP;35.2
Development of Kinetic Models for the Hybrid Fuels Combustion Containing Aluminum Particles;Recent studies identified the addition of metal particles into conventional liquid fuels (jet fuel  gasoline  diesel) as one possible strategy to increase fuel energy density and specific impulse. The objective of this work is to evaluate the combustion potential of hybrid fuels by developing detailed chemical mechanisms to model their behavior. Thus  this work is focused on 1) identifying the key parameters that control the promoting/inhibiting effects of aluminum on jet fuel combustion and 2) the assessment of the impact of 1% (weight) of passivated aluminum on the main combustion parameters (combustion temperatures  ignition delays  laminar flame speeds). This study considers the combined effects of aluminum and alumina on combustion properties based on the ratio of their mole fractions. The analyses of the mechanism revealed 1) the origin of the promoting/inhibiting effects on combustion and 2) that the hybrid fuel combustion exhibits a three-stage reactivity  whereas the conventional jet fuel presents only one. This work proposes a first detailed kinetic mechanism for hybrid fuels combustion. Moreover  the numerical results obtained in this wide parametric study evidence that hybrid fuels must be used in fuel-rich regimes at low temperatures (𝑇<800K) to maximize their combustion performance.;JPP;35.2
Extrapolation of Laminar Ethylene/Air Flame Speeds at Elevated Pressures with Flame Chemistry Analysis;The laminar flame speeds of ethylene/air flames at various pressures (up to 10.0 atm) were measured using the expanding spherical flame. Three commonly used extrapolation models were employed  and the individual effects of pressure and flame radius range on the extrapolation uncertainty were investigated. It was found that the reduction in flame thickness reduces the extrapolation uncertainty at high pressures. At low pressures  large values of both lower and upper bounds of the extrapolation range in the flame radius range are preferred to reduce the extrapolation uncertainty. The measured laminar flame speeds were then compared with those from previous works and computations using USC and UCSD mechanisms. Sensitivity analysis was further conducted to illustrate the effects of pressure and equivalence ratio on flame chemistry and to reveal the controlling reactions for flame propagation. It was found that the laminar flame speed is more sensitive to flame chemistry at higher pressures  while the relative importance of individual chemical reactions is rarely affected by pressure. The C0 and C1 reactions were found to be the key for the laminar flame speed of ethylene/air flames under fuel-lean conditions  while the C2 reactions assume comparable importance with the C1 reactions on the fuel-rich side.;JPP;35.2
High Pressure Fuel Regression Characteristics of Axial-Injection End-Burning Hybrid Rockets;This study is an investigation of axial-injection end-burning hybrid rockets aimed at revealing fuel regression characteristics under relatively high-pressure conditions. Firing tests are conducted using gaseous oxygen as the oxidizer at chamber pressures and oxidizer port velocities ranging from 0.22 to 1.05 MPa and 31 to 103m/s  respectively. The results of 15 static firing tests show that the fuel regression rate increases as the chamber pressure increases  and regression rates range from approximately 1.1mm/s at 0.25 MPa to 5.5mm/s at 0.90 MPa. Furthermore  it is observed that the pressure exponent of the fuel regression rate is 1.05 and the fuel regression rate is not influenced by the oxidizer port velocity in this study. The model explains that the backfiring problem tends to occur in relatively high-pressure conditions  and it leads to the conclusion that increasing the nozzle throat diameter is an effective means of preventing backfiring from occurring.;JPP;35.2
Influences of Domain Symmetry on Supersonic Combustion Modeling;High-fidelity Improved Delayed Detached Eddy Simulation modeling is applied to examine the influence of the symmetry plane on the supersonic flow and combustion characteristics in a round-to-elliptic–transition scramjet combustor. A quarterly split domain and the full domain are modeled by using up to 0.14 billion cells and a third-order scale-selective discretization scheme. The combustion chemistry is described by the finite-rate partially stirred reactor model based on multicomponent diffusion and a skeletal kerosene mechanism with 19 species/53 reactions. Time-averaged pressure  temperature  Mach number  and heat release rate are compared to examine the influence of the symmetry assumption on the mean flow fields. The exchanges of mass  momentum  and energy across the symmetry planes are analyzed. Considerable increases in the combustion efficiency and total pressure loss occur when applying the full domain  although with the similar mixing efficiency. Turbulence spectrum analysis confirms the −8/3 power-law for supersonic flows  and the inertial subrange is found to be shorter in the quarter-domain modeling. A comparison of the Borghi’s diagrams shows that the data points shift from the flamelet mode to the thin reaction zone mode when using the full domain  and at least 1/3 of them cannot be described by fast-chemistry combustion models.;JPP;35.2
Investigation of Stall Inception Behavior in a Centrifugal Compressor with Bent Pipe/Volute Coupling Effect;"The centrifugal compressor typically has a bent inlet pipe and volute due to the engine equipment installation  leading to the existence of asymmetric structures in both the inlet and outlet of the impeller. Under the coupling effect between the bent inlet pipe and outlet volute  the onset time and the circumferential position of the stall inception  as well as the stall development process  will be influenced. In this work  three centrifugal compressor models are investigated. The M0 model has the straight inlet pipe  and the M1 and M2 models have bent inlet pipes with different installation angles between the bent pipe and volute tongue. Unsteady numerical simulations are carried out  and the static pressure distributions of the casings are compared between the experiment and unsteady time-averaged results  to validate the unsteady simulations. Based on the casing static pressure comparison  unsteady simulations of the stall process are carried out for three models. Results show that the influence of the bent pipe on the stall process is smaller than that of the volute. Therefore  the circumferential onset position of stall inception is always located at the circumferential position of the pressure peak induced by the volute  irrespective of the pipe installation angle. The onset times of stall inception for the bent pipe models are earlier than those of the straight pipe models. When the low total and static pressure region of the bent pipe’s inner wall acts on the same position of the pressure peak region induced by the volute at the impeller inlet (corresponding to model M1)  the momentum of incoming flow reduces at this position; thus  the capability of resistance to reverse pressure gradient decreases  which causes an earlier stall inception onset. In contrast  when the high total and static pressure region of the bent pipe outer wall acts on the same position of the pressure peak region induced by the volute at the impeller inlet (corresponding to model M2)  the stall inception onset time will be delayed. Meanwhile  the stall development process of M2 is faster than that for M1. In the application of an inlet bent pipe  the installation angle of model M2 should be adopted to delay the stall inception onset and improve compressor performance.";JPP;35.2
Ion Optics’ Thermally-Induced Gap and Aperture Misalignment Reduction by Selective Laser Melting;High operation temperatures in ion thrusters with metallic ion optics lead to unequal thermal expansion of screen and accelerator grids. Larger normal and tangential displacements of the screen grid result in grid-to-grid gap change and aperture misalignment  which affects the perveance of the optics and modifies ion trajectories. To mitigate this problem  a solution that consists of more uniform thermal expansion of the optics is proposed. By rendering accelerator grid more elastic (i.e.  reducing the elastic modulus) to make it easier to expand and increasing the coefficient of thermal expansion (CTE)  grid-to-grid gap change and aperture center misalignment are not as pronounced as when both optics have the same properties. Selective laser melting with different fabrication parameters was used to produce molybdenum and titanium samples with different CTE and Young moduli  which were introduced in a thermoelastic model applied to a set of 50 cm domed ion optics. It has been showed that a 20% CTE increase and 25% elastic modulus reduction of the accelerator grid with respect to screen grid produced a 65% grid-to-grid gap change reduction and a 38% aperture misalignment reduction  compared with typical optics’ sets. However  the selective laser melting fabrication and testing of grids with feature control have not been accomplished yet.;JPP;35.2
Linear Acoustic Analysis of the Preburner of an Oxidizer-Rich Staged Combustion Engine;The linear acoustic behavior of an oxidizer-rich staged combustion engine preburner assembly that was similar to that of the RD-170 has been investigated by using real fluid speeds of sound to accommodate supercritical pressures. The speeds of sound  and hence the resulting frequencies  were approximately 20% higher than would be expected from ideal gas assumptions  which is a critical point of difference between the acoustic behavior of the preburner versus the main chamber. The results show that the mode shapes in the preburner–turbine inlet assembly are largely invariant with respect to the boundary condition used for the turbine blade row  but the frequencies are noticeably affected. The 2L mode is totally suppressed for both the acoustically open case and the case with the blade row impedance condition. The remaining longitudinal modes are damped. Both the frequency and the mode shape of the 1T mode remain totally invariant because the oscillations are confined to the injector regions and do not exhibit acoustic velocity with components normal to the impedance surface. The lack of damping of the 1T mode by the blade rows  combined with the relatively high magnitudes of acoustic velocity near the combustion zone  suggests that the 1T mode is a likely candidate to experience instability if it is suitably energized by the heat release.;JPP;35.2
Research on the Effect of Soot Self-Absorption on Flame Multispectral Radiation Reconstruction;In this paper  an iterative multiwavelength method is proposed for the reconstruction of soot temperature and volume fraction fields in an axisymmetric flame with absorbing  emitting participating media. The Tikhonov regularized method is employed to solve the ill-posed matrix  by which the local radiative source term of two-dimensional space elements are obtained. The effects of the absorption term and the quantity of wavelength selected on the accuracy of reconstruction were evaluated quantitatively. When comparing with the two-color method  the present inversion results show that the accuracy of the multiwavelength method is better and the inversion range is larger than  even with external noise.;JTHT;33.1
Turbulent Aeroheating Measurements on a 7-Deg Cone in High-Enthalpy CO2 Flow;"A database of heating and pressure measurements on a 7 deg half-angle cone in a high-enthalpy expansion tunnel in CO2 has been generated to support development and validation of computational models to be employed in the design of future Mars missions. Laminar  transitional  and turbulent simulations were performed at the test conditions for comparisons with the data. Close agreement was obtained for both fully laminar and fully turbulent conditions. For the remaining transitional/turbulent conditions  agreement to within  or slightly more than  the estimated experimental uncertainty was demonstrated. The influence of transition intermittency and transition length models on predicted heating levels was demonstrated  as were differences in turbulent heating predictions generated using various algebraic  one-equation  and two-equation turbulence models. These comparisons provide some measure of confidence in turbulent simulation capabilities; however  because the data were not obtained on a relevant entry vehicle geometry  it is not possible to fully quantify computational uncertainties for the definition of Mars mission aerothermodynamic environments at this time.";JTHT;33.1
Monitoring Modulus and Stress-Free Temperature with Health Monitoring Sensors;Bond-line stress and temperature sensors have been proposed in the past as a means to monitor the health of solid rocket motors. However  these previous works have only assessed the ability of these sensors to detect defects such as bond-line delaminations and bore cracks. In this work  the sensors were used to determine the effects of aging on the propellant modulus and the stress-free temperature. When composite propellants are cured  the molecular chains in the polymer entangle and cause shrinkage. This shrinkage causes stresses in the propellant at the cure temperature. Another cause of propellant stress is the differing coefficients of thermal expansion. Because the case and propellant have very different coefficients of thermal expansions  any cooling has an associated induced stress field in the propellant. Because the bond-line stress is linearly proportional to the temperature  the motor can be heated and cooled at 0.05°C/min while monitoring the bond-line stress. From these data  the stress-free temperature can be determined. These same data also produce estimates of the modulus. In this work  the analysis of the data showed a small decrease in the stress-free temperature and a moderate increase in the stiffness of the propellant  which correlates with the expected results.;JPP;35.2
Unsteady Radiative Heat Transfer Model of a Ceria Particle Suspension Undergoing Solar Thermochemical Reduction;"Unsteady radiative heat transfer is analyzed numerically in a directly irradiated plane-parallel medium containing a suspension of ceria particles undergoing nonstoichiometric thermal reduction. The micrometer-sized ceria particles are assumed homogenous  nongray  absorbing  emitting  and anisotropically scattering  whereas the overall medium is of nonuniform temperature and composition. The unsteady mass and energy conservation equations are solved using the finite volume method and the Shampine–Gordon time integration scheme. Radiative transport is modeled using the energy-portioning Monte Carlo ray-tracing method with radiative properties obtained from the Mie theory. Increasing the particle volume fraction and decreasing the particle diameter both increase the optical thickness of the particle suspension  resulting in increasing peak temperature and nonstoichiometry at steady state. For 5𝜇m-diam particles under 1000 suns irradiation  the peak temperature at steady state ranges from 1855 K for a particle volume fraction of 𝑓𝑣=10−6 to 2092 K for 𝑓𝑣=10−4; the temperature nonuniformity ranges from 9 to 622 K. For a fixed volume fraction of 𝑓𝑣=10−6  decreasing the particle diameter from 20 to 1𝜇m increases the peak temperature at steady state from 1734 to 2162 K; the temperature nonuniformity increases from 9 to 61 K.";JTHT;33.1
Aerothermodynamic Design Optimization of Hypersonic Vehicles;The objective of this study is to develop a reliable and efficient design optimization method for hypersonic vehicles focused on aerothermodynamic environments. Considering the nature of hypersonic flight  a high-fidelity aerothermodynamic analysis code is used for the simulation of weakly ionized hypersonic flows in thermochemical nonequilibrium. A gradient-based method is implemented for optimization. Bezier or nonuniform rational basis spline curves are used to parametrize the geometry or the geometry change. Linear elasticity theory is implemented for mesh deformation. Penalty functions are utilized to prevent undesired geometrical changes. The design objective is to minimize drag without increasing the total heat transfer rate and the maximum values of the surface heat flux  temperature  and pressure. Design optimizations are performed at different trajectory points of the IRV-2 vehicle. The effects of parametrizations  the number of design variables  and freestream conditions on design performance are studied.;JTHT;33.2
Numerical Investigations of S-Shaped Air Inlet for Embedded Engines;In this paper  compressible Reynolds-averaged Navier–Stokes computations are conducted for an S-shaped duct  in a clean configuration and also with a single row of vortex generators. The numerical simulations are performed using a hybrid unstructured grid. The influence of including the geometric representation of the probe instrumentation is investigated by considering the rake fairing geometry and also the geometry of the complete rake with the probes. Some aspects of the probe modeling are also discussed. A direct comparison of the numerical simulation results with the experimental values is performed for the wall static pressure along the duct  total pressure recovery  and distortion indices at the aerodynamic interface plane. Three different eddy-viscosity turbulence models are evaluated: the one-equation Spalart–Allmaras  and the two-equation realizable 𝑘-𝜀 and shear stress transport. A virtual 200-probe rake is also proposed  beyond the standard 40-probe rake  to enrich the total pressure and distortion indices comparisons. An overall good agreement is observed among experimental results and the numerical wall static pressure and the total pressure topology at the aerodynamic interface plane. Some discrepancies for the distortion indices are verified and discussed in detail.;JPP;35.2
Analytical Solution of a Generalized Two-Dimensional Model for Laser-Flash Thermal Diffusivity Measurements;This paper presents a two-dimensional model that generalizes the use of the laser flash method for thermal diffusivity measurements of homogeneous  opaque  and two-dimensional (2-D) anisotropic solid materials in the form of thin disk-shaped samples. The model employs partial central or annular pulse heating of the front sample side and a temperature detection over a generally decentralized circular surface on the rear or front sample side. A general analytical solution of related 2-D heat conduction problem with boundary and initial conditions that may exist in reality (such as radiation heat transfer between specimen surfaces and the environment  nonuniform pulse heating  finite pulse duration  and laser pulse penetration) is presented in a partial integral form. The solution for the transient temperature over the decentralized detection surface is transformed from a double integral to a single integral  which reduces the processing time in numerical computation. A simplified solution is given for the partial uniform pulse heating  rectangular pulse duration  and negligible laser pulse penetration depth. Following the simplified solution  four different applications of the presented model for the case of the rear-side temperature detection are described  together with an example of a related sensitivity analysis for the selected set of parametric values. The influence of the size and position of the detection surface on the transient temperature response is separately analyzed  and the results are presented in the last section of the paper.;JTHT;33.2

